id,isAvailable,category,brand,price,name,rate,description
697,true,laptop,asus,955.68,asus X512,2.62,High-quality laptop from hp with excellent performance and features. Appropriate for gaming. gaming fan and graphic card and the important point is high resolution. (144Hz)
898,false,laptop,asus,1049.75,asus VivoBook,1.00,High-quality laptop from acer with excellent performance and features. Appropriate for gaming. gaming fan and graphic card and the important point is high resolution. (144Hz)
668,false,laptop,acer,644.54,acer Zephyrus,4.58,High-quality laptop from hp with excellent performance and features. Appropriate for gaming. gaming fan and graphic card and the important point is high resolution. (144Hz)
742,false,laptop,hp,908.57,hp VivoBook,4.86,High-quality laptop from asus with excellent performance and features. Appropriate for gaming. gaming fan and graphic card and the important point is high resolution. (144Hz)
218,false,mobile,asus,866.18,asus Predator,3.27,High-quality mobile from lenovo with excellent performance and features. Appropriate for gaming. gaming fan and graphic card and the important point is high resolution. (144Hz)
425,false,mobile,hp,1172.32,hp Predator,3.10,High-quality laptop from acer with excellent performance and features. Appropriate for gaming. gaming fan and graphic card and the important point is high resolution. (144Hz)
511,false,mobile,acer,384.27,acer Legion,0.46,High-quality laptop from acer with excellent performance and features. Appropriate for gaming. gaming fan and graphic card and the important point is high resolution. (144Hz)
973,false,mobile,hp,1284.35,hp Pavilion,4.66,High-quality laptop from asus with excellent performance and features. Appropriate for gaming. gaming fan and graphic card and the important point is high resolution. (144Hz)
961,true,mobile,hp,642.27,hp Legion,0.15,High-quality mobile from asus with excellent performance and features. Appropriate for gaming. gaming fan and graphic card and the important point is high resolution. (144Hz)
562,true,laptop,hp,1330.73,hp X512,0.09,High-quality laptop from lenovo with excellent performance and features. Appropriate for gaming. gaming fan and graphic card and the important point is high resolution. (144Hz)
466,true,mobile,asus,828.92,asus Pavilion,3.97,High-quality laptop from asus with excellent performance and features. Appropriate for gaming. gaming fan and graphic card and the important point is high resolution. (144Hz)
396,false,laptop,hp,1315.70,hp VivoBook 1,1.55,High-quality laptop from acer with excellent performance and features. Appropriate for gaming. gaming fan and graphic card and the important point is high resolution. (144Hz)
403,true,laptop,acer,600.28,acer X512,0.14,High-quality mobile from hp with excellent performance and features. Appropriate for gaming. gaming fan and graphic card and the important point is high resolution. (144Hz)
344,true,laptop,asus,1140.44,asus X512 1,1.54,High-quality laptop from hp with excellent performance and features. Appropriate for gaming. gaming fan and graphic card and the important point is high resolution. (144Hz)
707,false,mobile,asus,1042.74,asus Predator 1,0.27,High-quality mobile from acer with excellent performance and features. Appropriate for gaming. gaming fan and graphic card and the important point is high resolution. (144Hz)
365,true,laptop,acer,351.43,acer ProBook,0.15,High-quality laptop from acer with excellent performance and features. Appropriate for gaming. gaming fan and graphic card and the important point is high resolution. (144Hz)
981,true,laptop,lenovo,670.15,lenovo X512,3.85,High-quality mobile from lenovo with excellent performance and features. Appropriate for gaming. gaming fan and graphic card and the important point is high resolution. (144Hz)
937,false,mobile,hp,1472.33,hp Z50,2.97,High-quality mobile from acer with excellent performance and features. Appropriate for gaming. gaming fan and graphic card and the important point is high resolution. (144Hz)
448,true,mobile,lenovo,1466.96,lenovo Predator,2.50,High-quality laptop from asus with excellent performance and features. Appropriate for gaming. gaming fan and graphic card and the important point is high resolution. (144Hz)
623,true,laptop,acer,708.98,acer X512 1,2.56,High-quality laptop from lenovo with excellent performance and features. Appropriate for gaming. gaming fan and graphic card and the important point is high resolution. (144Hz)
219,false,laptop,hp,998.07,hp Zephyrus,2.82,High-quality mobile from lenovo with excellent performance and features. Appropriate for gaming. gaming fan and graphic card and the important point is high resolution. (144Hz)
184,false,laptop,asus,1430.65,asus VivoBook 1,4.46,High-quality mobile from lenovo with excellent performance and features. Appropriate for gaming. gaming fan and graphic card and the important point is high resolution. (144Hz)
200,false,laptop,acer,429.38,acer ProBook 1,0.41,High-quality mobile from lenovo with excellent performance and features. Appropriate for gaming. gaming fan and graphic card and the important point is high resolution. (144Hz)
483,false,laptop,hp,1003.48,hp ProBook,4.87,High-quality mobile from asus with excellent performance and features. Appropriate for gaming. gaming fan and graphic card and the important point is high resolution. (144Hz)
362,true,laptop,acer,985.03,acer VivoBook,0.35,High-quality laptop from acer with excellent performance and features. Appropriate for gaming. gaming fan and graphic card and the important point is high resolution. (144Hz)
824,false,laptop,lenovo,1006.25,lenovo X512 1,1.45,High-quality mobile from hp with excellent performance and features. Appropriate for gaming. gaming fan and graphic card and the important point is high resolution. (144Hz)
928,true,mobile,asus,349.61,asus Predator 2,3.55,High-quality mobile from acer with excellent performance and features. Appropriate for gaming. gaming fan and graphic card and the important point is high resolution. (144Hz)
746,false,laptop,lenovo,807.83,lenovo ProBook,3.68,High-quality mobile from asus with excellent performance and features. Appropriate for gaming. gaming fan and graphic card and the important point is high resolution. (144Hz)
617,true,laptop,lenovo,1497.41,lenovo X512 2,2.62,High-quality laptop from hp with excellent performance and features. Appropriate for gaming. gaming fan and graphic card and the important point is high resolution. (144Hz)
328,true,laptop,hp,387.53,hp VivoBook 2,0.90,High-quality laptop from hp with excellent performance and features. Appropriate for gaming. gaming fan and graphic card and the important point is high resolution. (144Hz)
775,false,laptop,hp,483.22,hp ProBook 1,3.56,High-quality mobile from asus with excellent performance and features. Appropriate for gaming. gaming fan and graphic card and the important point is high resolution. (144Hz)
922,true,mobile,lenovo,853.58,lenovo Z50,0.94,High-quality laptop from acer with excellent performance and features. Appropriate for gaming. gaming fan and graphic card and the important point is high resolution. (144Hz)
556,false,laptop,asus,915.16,asus X512 2,4.72,High-quality mobile from asus with excellent performance and features. Appropriate for gaming. gaming fan and graphic card and the important point is high resolution. (144Hz)
456,true,laptop,hp,324.21,hp Zephyrus 1,0.58,High-quality mobile from asus with excellent performance and features. Appropriate for gaming. gaming fan and graphic card and the important point is high resolution. (144Hz)
323,true,laptop,acer,978.43,acer VivoBook 1,2.31,High-quality mobile from acer with excellent performance and features. Appropriate for gaming. gaming fan and graphic card and the important point is high resolution. (144Hz)
847,false,laptop,acer,555.97,acer X512 2,3.88,High-quality mobile from hp with excellent performance and features. Appropriate for gaming. gaming fan and graphic card and the important point is high resolution. (144Hz)
349,true,laptop,hp,881.67,hp Zephyrus 2,2.43,High-quality mobile from asus with excellent performance and features. Appropriate for gaming. gaming fan and graphic card and the important point is high resolution. (144Hz)
181,true,laptop,acer,1165.85,acer X512 3,0.20,High-quality laptop from acer with excellent performance and features. Appropriate for gaming. gaming fan and graphic card and the important point is high resolution. (144Hz)
725,true,mobile,hp,1174.47,hp Pavilion 1,2.68,High-quality laptop from lenovo with excellent performance and features. Appropriate for gaming. gaming fan and graphic card and the important point is high resolution. (144Hz)
808,false,laptop,acer,1403.29,acer VivoBook 2,4.71,High-quality mobile from asus with excellent performance and features. Appropriate for gaming. gaming fan and graphic card and the important point is high resolution. (144Hz)
122,false,mobile,hp,1385.27,hp Legion 1,3.85,High-quality mobile from asus with excellent performance and features. Appropriate for gaming. gaming fan and graphic card and the important point is high resolution. (144Hz)
966,false,laptop,hp,1315.76,hp VivoBook 3,3.78,High-quality mobile from asus with excellent performance and features. Appropriate for gaming. gaming fan and graphic card and the important point is high resolution. (144Hz)
281,false,laptop,asus,1152.51,asus X512 3,4.13,High-quality laptop from acer with excellent performance and features. Appropriate for gaming. gaming fan and graphic card and the important point is high resolution. (144Hz)
255,false,mobile,lenovo,382.73,lenovo Pavilion,0.64,High-quality laptop from acer with excellent performance and features. Appropriate for gaming. gaming fan and graphic card and the important point is high resolution. (144Hz)
930,false,mobile,acer,437.46,acer Pavilion,2.01,High-quality laptop from lenovo with excellent performance and features. Appropriate for gaming. gaming fan and graphic card and the important point is high resolution. (144Hz)
